1,0
1,0
0,1
0,0
1,1
0,0
0,1
1,0
1,1
1,0
0,1
0,0
1,1
0,1
1,0
0,0
1,1
1,1
0,1
1,2
0,1
0,1
0,0
0,0
2,1
0,0
0,2
1,0
1,1
1,1
1,0
1,1
110,240
110,240
59,123
228,21
123,112
228,191
231,78
255,230
1,136
62,116
6,78
173,112
62,81
228,128
78,218
228,133
7,9
28,7
50,184
242,6
114,196
56,251
186,186
50,186
13,37
88,114
114,13
251,114
0,2
132,184
50,57
57,161
1,0
1,1
1,0
1,1
1,0
0,0
0,1
0,2
1,0
1,0
0,1
0,1
0,2
1,0
1,1
1,1
1,1
0,1
0,1
0,0
0,1
0,0
0,1
1,0
0,0
0,2
0,1
0,0
0,1
1,2
1,0
0,0
110,37
119,123
1,6
112,178
133,127
173,97
97,255
5,0
78,116
112,21
109,136
173,1
112,1
1,144
255,1
253,128
178,182
121,9
164,242
210,43
189,251
56,56
88,193
251,189
35,186
88,13
88,193
56,56
43,184
132,6
182,104
133,218
1,0
0,1
1,0
0,1
0,1
0,1
0,0
2,0
0,1
1,1
1,0
0,1
0,0
0,1
0,0
1,0
1,1
1,1
1,1
0,0
1,1
1,0
0,0
0,0
0,0
1,1
0,0
1,0
1,1
1,1
0,0
1,0
119,248
30,123
253,37
118,133
21,133
147,57
132,5
0,228
218,255
123,161
1,230
173,86
21,118
228,33
248,191
255,104
50,50
242,184
0,184
106,210
178,184
0,244
244,187
250,244
187,189
216,251
88,56
251,164
0,242
9,184
57,131
106,227
0,0
1,1
0,0
0,2
0,1
0,1
2,0
0,1
0,0
2,1
0,0
2,0
1,1
0,1
0,0
0,1
0,0
1,1
1,1
1,0
0,1
1,1
1,1
1,2
1,1
1,0
1,0
1,0
1,1
1,1
0,1
0,0
248,147
128,42
133,91
133,0
104,253
30,133
0,37
239,133
242,230
0,255
21,97
1,112
136,110
191,136
236,230
115,16
133,57
74,182
184,178
9,122
131,74
216,195
195,37
60,13
37,251
196,56
37,56
216,50
132,74
28,50
122,50
154,5
0,0
1,0
1,0
1,0
0,0
1,1
0,1
2,0
2,0
0,1
1,0
0,0
0,0
0,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
1,1
0,2
1,0
0,0
0,1
0,0
0,1
0,1
0,1
1,0
1,0
118,5
253,132
255,169
9,169
91,104
178,106
133,132
6,131
0,144
218,42
161,115
144,97
191,153
97,95
1,38
33,112
157,169
106,122
57,57
242,37
128,164
251,177
35,13
37,88
189,43
164,196
43,50
210,242
154,2
121,28
132,121
178,218
1,0
0,1
1,1
0,1
1,0
0,1
0,1
0,2
0,0
0,0
1,0
1,0
0,0
1,1
1,0
0,0
0,0
1,0
1,1
1,1
1,1
1,1
0,0
2,0
0,2
2,1
1,1
0,1
0,1
1,0
1,1
1,0
106,118
154,178
132,2
30,2
178,122
131,178
57,42
239,0
144,57
144,239
161,127
57,248
248,119
123,62
125,153
112,230
218,169
132,245
42,128
128,133
128,74
2,74
43,106
6,189
164,6
6,74
9,184
210,242
50,2
178,121
2,182
50,147
1,1
0,0
0,2
0,1
1,1
0,1
1,1
1,1
0,0
0,1
0,0
1,0
0,0
0,1
1,1
1,1
1,0
1,0
0,0
0,0
1,0
0,1
1,0
0,0
1,1
1,1
1,1
1,1
0,1
0,1
1,1
1,1
161,57
169,144
154,0
49,74
132,9
249,132
57,128
178,9
131,154
118,42
245,21
7,21
127,144
59,116
110,89
81,78
255,131
42,116
30,248
5,144
42,132
49,128
128,147
227,133
50,50
132,182
50,2
0,2
106,28
57,9
184,50
50,57
1,1
0,0
0,0
1,0
0,0
1,1
0,0
0,1
1,0
0,0
0,1
0,0
2,0
0,1
0,0
0,0
0,0
0,1
1,0
0,0
1,0
0,1
1,0
0,1
0,0
0,0
1,1
1,0
0,1
0,1
1,1
1,1
16,182
131,245
132,121
7,210
154,242
7,74
249,132
104,106
42,228
37,239
218,112
218,104
0,227
97,78
115,118
105,216
21,37
